Id;Hora de inicio;Hora de finalización;Correo electrónico;Nombre;Total de puntos;Comentarios del cuestionario;Hora de publicación de la calificación;How often do you play video games?;Puntos: How often do you play video games?;Comentarios: How often do you play video games?;Which platform do you prefer for playing video games?;Puntos: Which platform do you prefer for playing video games?;Comentarios: Which platform do you prefer for playing video games?;How much time do you usually spend playing video games in an average session?;Puntos: How much time do you usually spend playing video games in an average session?;Comentarios: How much time do you usually spend playing video games in an average session?;Have you spent money on additional content within video games?;Puntos: Have you spent money on additional content within video games?;Comentarios: Have you spent money on additional content within video games?;What is your all-time favorite video game?;Puntos: What is your all-time favorite video game?;Comentarios: What is your all-time favorite video game?
1;08/04/2025 11:09;08/04/2025 11:10;anonymous;;;;;Every day;0;;"Console (PlayStation, Xbox, etc.);";0;;2-4 hours;0;;No;0;;NBA 2K;0;
2;08/04/2025 11:11;08/04/2025 11:11;anonymous;;;;;Several times a week;0;;"Mobile;";0;;1-2 hours;0;;No;0;;COD;0;
3;08/04/2025 11:14;08/04/2025 11:14;anonymous;;;;;Several times a week;0;;"PC;Console (PlayStation, Xbox, etc.);";0;;1-2 hours;0;;Yes;0;;Gta;0;
4;08/04/2025 11:15;08/04/2025 11:16;anonymous;;;;;Once a week;0;;"Console (PlayStation, Xbox, etc.);";0;;1-2 hours;0;;Yes;0;;NBA 2k;0;
5;08/04/2025 11:23;08/04/2025 11:24;anonymous;;;;;Every day;0;;"Console (PlayStation, Xbox, etc.);PC;";0;;1-2 hours;0;;Yes;0;;Calle of duty III;0;
6;08/04/2025 11:24;08/04/2025 11:25;anonymous;;;;;Every day;0;;"PC;";0;;2-4 hours;0;;No;0;;Dark souls 1;0;
7;08/04/2025 11:50;08/04/2025 11:51;anonymous;;;;;Several times a week;0;;"PC;Mobile;Console (PlayStation, Xbox, etc.);Others;";0;;+ 4 hours;0;;Yes;0;;E-Girl XXX Simulator;0;
8;08/04/2025 12:54;08/04/2025 12:55;anonymous;;;;;Rarely;0;;"PC;";0;;1-2 hours;0;;No;0;;Minecraft ;0;
9;08/04/2025 13:16;08/04/2025 13:19;anonymous;;;;;Several times a week;0;;"Console (PlayStation, Xbox, etc.);Mobile;PC;";0;;Less than an hour;0;;No;0;;God of war;0;
10;08/04/2025 13:21;08/04/2025 13:22;anonymous;;;;;Several times a week;0;;"PC;";0;;2-4 hours;0;;No;0;;No lo se;0;
11;08/04/2025 14:07;08/04/2025 14:08;anonymous;;;;;Several times a week;0;;"Console (PlayStation, Xbox, etc.);";0;;2-4 hours;0;;Yes;0;;Pro evolution petanca;0;
12;08/04/2025 14:12;08/04/2025 14:12;anonymous;;;;;Several times a week;0;;"PC;";0;;2-4 hours;0;;Yes;0;;Rocket league;0;
13;10/04/2025 9:44;10/04/2025 9:44;anonymous;;;;;Every day;0;;"PC;";0;;2-4 hours;0;;Yes;0;;Dark Souls III;0;
